,평균기온(°C),일교차(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 전운량(1/10),오존(O3),미세먼지(PM10)
"('20F', '가공란')",-0.045598732132038945,0.14585041222721126,0.009865459125189073,0.0006234610708346913,-0.0763557552231374,-0.0009924941225014762,0.13544606575249218,0.19103739903072764
"('20F', '가스온수기')",0.02078374811537647,0.03865333917086938,-0.01965320403326628,-0.0016245500945091201,-0.015741043809039474,0.03360449097071529,0.06089765268428168,-0.00865696094329196
"('20F', '가열식 가습기')",-0.3272978242158947,-0.010880207896645814,-0.08911766581817536,-0.0555859055444409,-0.12282970121861539,-0.09185778185973936,-0.35663352004582677,0.0480280764220051
"('20F', '가자미')",-0.05967594058052532,-0.034905512720640436,0.012320800268191458,0.04398748344932697,-0.005249595890171972,0.010937186750039669,-0.028773699158964244,0.04984132277763795
"('20F', '갈비/찜/바비큐용 돈육')",0.10602100076690546,-0.16194175924315127,0.07631793628079209,-0.050717608407680526,0.13111027133077727,0.08659950843487736,-0.08898264946703352,-0.10524979800572072
"('20F', '갈비용 우육')",-0.016239794840055104,-0.04704305622337302,0.023740096042398674,0.006596327357317594,0.02134114170193336,0.0534484528356104,-0.024882534058706298,-0.07186869506680597
"('20F', '갈치')",0.09781407171908588,-0.07865859742522587,0.0743993538663949,-0.0006546008948285362,0.12145466783135782,0.05196311440585178,-0.060182003884505945,-0.09616199639031855
"('20F', '감/홍시')",-0.11573778867412371,0.04198618847866194,-0.030561218563934154,0.020227659517805467,-0.011387441111759032,-0.0927375526386787,-0.20805152977368102,-0.08635692642670602
"('20F', '감귤/한라봉/오렌지')",-0.6796277030321511,0.11218025718812373,-0.18144694468788805,-0.019302717238769626,-0.3237063443958075,-0.2460223239284319,-0.5851526371134108,0.22084893275889794
"('20F', '감마리놀렌산 영양제')",-8.915652402421086e-05,-0.010737949133083353,-0.02298562891420416,-0.009926934348916457,0.016547019585242403,-0.002984202251309545,-0.03901499632808671,-0.006151062616385152
"('20F', '감말랭이')",-0.31847653582337176,0.0011149741785924504,-0.048171116645689335,0.04191747134445809,-0.1727607305961073,-0.09596242510810875,-0.23696889240262958,0.07189036005495977
"('20F', '감자')",-0.057570517053195554,0.11901880099495046,-0.008085760103896656,0.115554344199379,-0.060970618334336264,0.050818475481349566,0.2967471732068071,0.12650857522299533
"('20F', '갓김치')",0.1366467002127343,0.04267601238959756,-0.02239279014490075,0.011878601434208392,0.0903420921924884,0.013765458202069036,0.16540983198804426,-0.028064476446222862
"('20F', '건강즙')",-0.025875100622899737,0.05025348949088104,-0.028887593811663507,-0.058444849462563106,-0.045978694796205755,0.005339630640326833,-0.04101109425665566,0.12441282571024487
"('20F', '건강즙/녹용')",-0.13589993926319416,0.03422576525099195,-0.01651729793222763,0.02013161537205273,-0.07005019860309804,-0.01397316726947843,-0.03597364770051473,0.11073678562867581
"('20F', '건대추')",-0.06485136869580847,0.05377149918123124,-0.02809013196782596,0.003387983340896159,-0.0035142323070901918,-0.047629442478028874,-0.1258104217213555,-0.04602511203379815
"('20F', '건망고')",0.025478514687018478,0.02570735745842641,-0.00849088482013731,-0.02761331737276277,0.021258503162678435,0.04531195704447797,0.004904104503016348,0.04148834544958503
"('20F', '건바나나')",-0.013896181425938072,-0.007859185023061531,0.03823323633823067,0.03751630087455606,-0.027628865669925454,0.028198497513719605,-0.050063767631005424,0.0044601419797127995
"('20F', '건어물 건새우')",-0.09620568678755553,0.06696231419814874,-0.010165265969025032,0.020746713330137338,-0.051465219674851244,-0.08673889073845666,0.012013418362901939,0.025163808457505227
"('20F', '건어물 노가리')",-0.05801200467856681,-0.00276239666523454,-0.015737888320128558,-0.026668476237809543,-0.03853439328044537,-0.043275670458920695,-0.12205221756495016,0.02674757454030312
"('20F', '건어물 마른오징어')",-0.09445938581039487,-0.06881503427740036,0.04215577573360423,0.1135466455941588,0.07766583842330478,0.07405275465003194,-0.021858489422967663,0.008076718224248257
"('20F', '건어물 멸치')",-0.07217949360715852,-0.0905979389758573,0.051823980545989815,0.04326430273227237,0.023020047187736762,0.015906622594423644,-0.13212505886550105,-0.023341458776334083
"('20F', '건어물 쥐포')",-0.032090078274200524,-0.000802667257745564,0.04221563239609519,0.04744583016287758,0.012140288647422807,0.040928279390656304,0.016181706989564466,0.018109524282451845
"('20F', '건어물 진미채')",0.011375866189347427,0.07570427924324036,0.03295913857155685,0.021919521728475087,-0.02952756474727676,-0.0559388884763693,-0.016520981758040815,0.009495237082886144
"('20F', '건어물 황태')",-0.05370414577433982,-0.04714636362774553,-0.016866947823416138,0.06344237500283885,0.010608742474605207,-0.006467785617516904,-0.11538189623358573,-0.07445309361213835
"('20F', '건자두')",0.18795400015319377,-0.043134645824792914,0.0900492814488277,-0.04685313703458414,0.06356915999142798,0.05142609387985156,0.14310967360484897,-0.008513698823102338
"('20F', '건포도')",0.04744349481219214,0.07666530595193577,-0.008081316200816216,-0.015469078034762027,-0.03311868288664639,-0.0264026839233137,0.15334041232750314,0.07702075394678798
"('20F', '게장류')",-0.014558483776390914,0.010116544213500299,-0.05867783657154217,-0.01194386637276665,-0.00968328016987712,-0.03286766819579823,-0.11803545771731243,-0.0032532211854688848
"('20F', '견과류')",-0.049185648892825375,-0.0019183319763333316,0.017358295204686958,0.10930113821226575,0.0015425559731495253,0.026914499530155546,0.1008026072888888,0.0723726351841849
"('20F', '견과류 땅콩')",-0.16098736464216812,-0.013150773905481004,0.007166319226750771,0.012052263565747571,-0.05503945573665657,0.009488777055902268,-0.10326999604207786,0.06879590555824015
"('20F', '견과류 마카다미아')",-0.12823299437663635,0.022578359546696677,-0.02879280126989239,0.09573070863093004,-0.081762260389504,0.02012679783952743,0.03860167572442333,0.085676866260846
"('20F', '견과류 밤')",-0.2605423545765548,0.01606864146944659,-0.04196271582257238,-0.0037871622023798518,-0.08427386985377781,-0.06560454024899308,-0.2720428856562382,0.05880196170867453
"('20F', '견과류 잣/은행')",-0.08342430308092348,0.02767425868749814,-0.0419827126909703,-0.02269954174324696,-0.008497546424727727,-0.07218429977033966,-0.12738842014081697,0.029159378879977015
"('20F', '견과류 카카오닙스')",-0.09483803835566572,0.04727482030836492,0.03853613538425337,0.0840049153634195,-0.04818766844195213,0.015595519644843436,0.04935678689530575,0.095816689412498
"('20F', '견과류 캐슈넛')",0.0829696690064609,0.05368256157205662,0.01699754757125275,-0.04700504100037866,0.031358572411083786,-0.00833352948499199,0.06848204354616463,0.041799652736902046
"('20F', '견과류 피스타치오')",0.06825754550732606,0.008806999740850033,-0.029385835058914202,-0.036378764353438287,0.014832954899820928,0.002396052823095166,-0.015296377045876615,-0.004729461041180103
"('20F', '견과류 호두')",-0.010626601579653233,0.025440328046795045,0.024416338634892558,-0.031188045806672022,0.0396021831626486,0.05936453287582393,-0.044933913599025356,0.07306785234584919
"('20F', '계란')",0.3127384995604781,-0.09276024848755683,0.1268337677198646,-0.04989973815790951,0.240192621113702,0.09342627369013422,0.03368807061852722,-0.19580229240319147
"('20F', '고등어')",0.005165253814630495,-0.0006834145003356027,0.06835002663228111,0.026784037323985616,0.008937259960917224,0.005012264431946131,-0.03924737264489784,-0.06739420314163029
"('20F', '고추/피망/파프리카')",0.1367257390799843,0.043248442715609216,0.01623783044740901,0.03756115872390636,0.07778118015221139,0.04278448323216815,0.13931813414310912,-0.04341454225060756
"('20F', '곡물차')",-0.05407337209815719,-0.02527025316994262,-0.031227371013714724,-0.0031681120746153454,0.039805118632958346,-0.006298057774396715,-0.18218089030214504,-0.053837380169849056
"('20F', '공기정화 용품')",-0.10481132727596128,0.08228314084252586,-0.06320501263815348,-0.014736294043695149,-0.034028855214031754,-0.016586952191814823,0.04314148879670461,0.4384847847762558
"('20F', '공기청정기')",-0.18177243232698465,0.12257871431066897,-0.08928972435626206,0.022267651815379576,-0.12113195627305316,-0.013420072961496672,0.061003708176023665,0.47786273410076024
"('20F', '곶감/반건시')",-0.1624641821708856,-0.07955650073573366,-0.017685825741294608,0.04040932070149971,-0.06487683151525113,0.014454007217151328,-0.1605392327691306,0.01481783785308458
"('20F', '과실차')",-0.2902134156008855,0.05431645563326165,-0.09551637565628049,-0.013159898584158725,-0.17749144730100405,-0.08479711089838984,-0.2412399393355197,0.05888084127693676
"('20F', '과일류')",0.2957200775591101,-0.07326547213654193,0.09947448587228293,-0.005514567391444192,0.17869791514508082,0.1364604161365381,0.21053078006048012,-0.1117808261353847
"('20F', '과일세트')",-0.06096126241443825,-0.08100525253760524,-0.008579731741452948,0.008252025210379679,0.006518655003513932,0.060801363614840294,-0.11504476559619091,-0.037497208580490556
"('20F', '과일채소 분말/분태')",0.005792617310705369,-0.021231883797479843,-0.04227368694301541,-0.01699137086672818,0.046501757606453295,0.0013282049303482211,-0.04733965394361064,-0.03055490419764857
"('20F', '과채 음료/주스')",0.0974043359296915,-0.016425662748516832,0.04690281393871355,0.05417952715339607,0.08462819772700557,0.07993547769060777,0.1247750579302888,0.06956611819521925
"('20F', '구이/수육용 돈육')",0.01337087666861593,-0.011932547337207725,-0.0013377725881855845,-0.040738912126722475,-0.02300997881067609,-0.029154956634806422,-0.06352813439572118,-0.045109048426755304
"('20F', '국내산 돈육')",-0.15271557940274078,-0.05713188331624431,-0.006846041175731774,-0.002800059314831096,-0.006612446467966889,-0.03536409548384635,-0.1948872453122097,-0.0069624274255020895
"('20F', '굴 생물')",-0.47856770767838863,0.03498045567126039,-0.11038462237139954,-0.0009765959027116721,-0.2228895526890857,-0.18229954620111083,-0.474337920197381,0.08693859641316741
"('20F', '굴비/조기')",-0.02592895365056809,-0.11148071779537225,0.02575147399242526,0.008779333495660858,0.028029602117504306,0.0680626178432788,-0.14120515702681338,-0.03751686621369724
"('20F', '글루코사민/키토산 영양제')",0.21005668980622577,-0.09324704072100719,0.12763943983889944,-0.06176534987291476,0.17151796691253168,0.11047825244384907,0.004753107775517467,-0.08964185370726645
"('20F', '기능성 링클케어 화장품')",-0.1298785854975479,0.006549328397144396,0.006038161104093704,0.0928965274695712,-0.04009056180350052,-0.05241937112137842,-0.002201376037570211,0.005390351755987833
"('20F', '기능성 모공관리 화장품')",0.027529496937828947,0.006848120682969226,-0.019276858700101478,-0.037028380044971505,0.014330135430782081,0.009852827960305425,0.08738028059949937,0.07075744009501424
"('20F', '기능성 아이케어 화장품')",-0.436396820567024,-0.02531170017801063,-0.06848314243915632,0.1197287284242598,-0.2844758918581109,-0.09306592570862704,-0.25827929493036533,0.12020963253251696
"('20F', '기능성 영양보습 화장품')",-0.07811515905915828,0.06461403927481552,-0.04590157131178765,-0.055893803355827075,-0.08541660162724589,-0.04927428292965679,-0.04347602630599595,0.06094984612855102
"('20F', '기능성 트러블케어 화장품')",-0.025810607077304308,0.004475511127805476,-0.022182082988466148,-0.03875813623130202,-0.024354587994384887,0.07688025874211873,-0.0024014389799870426,0.034455779412313155
"('20F', '기능성 화이트닝 화장품')",0.019880647454854277,0.03422688078962362,0.001829094796020218,-0.0710997059090675,0.01140451839964232,-0.032061806682246924,0.0011209741953608038,-0.013613287983331212
"('20F', '기능성 화장품 세트')",-0.14630364267469886,-0.006018704866994022,-0.007453197064136461,0.003256758934505555,-0.07749638283808546,-0.06457676607432111,-0.14369772288838528,0.01285079660417833
"('20F', '기초 화장용 로션')",-0.4555312586692357,0.008904792424216879,-0.07826735871992256,0.07888507008780041,-0.19561313106857775,-0.07199910543124904,-0.25688469302022854,0.13339296315761653
"('20F', '기초 화장용 미스트')",-0.2458524333363588,0.08895432142124579,-0.05553329327850875,0.09022464960971079,-0.18717991170914283,-0.11049384828831137,-0.061148995766306655,0.15872503185038087
"('20F', '기초 화장용 스킨')",-0.24480226084092147,-0.026687544713858567,-0.019559817750089394,0.02280517892180105,-0.0981855349929161,0.004877515538988985,-0.17504548563846886,0.11300323297956318
"('20F', '기초 화장용 에센스')",-0.16859333366316362,0.07566846496931251,-0.06776845258323798,-0.03111993610175533,-0.11244455326115682,-0.011318121329783796,-0.13038430939417123,0.0939466947764965
