20대 여성 판매량(개),20대 남성 판매량(개),30대 여성 판매량(개),30대 남성 판매량(개),40대 여성 판매량(개),40대 남성 판매량(개),50대 여성 판매량(개),50대 남성 판매량(개),60대 여성 판매량(개),60대 남성 판매량(개)
0.327487,0.60827637,0.8094826,1.3201036,0.5341797,1.2636356,0.21796513,0.58189726,0.09156656,0.25821924
0.31290913,0.60249233,0.79203796,1.3163519,0.5284958,1.2644434,0.21780968,0.5853095,0.09167695,0.25933814
0.30945778,0.5986042,0.7903786,1.3090115,0.54161835,1.2631063,0.22577572,0.588902,0.09289646,0.25992393
0.31205654,0.6014862,0.7988415,1.3223181,0.5334873,1.2714262,0.21870041,0.58947134,0.09230065,0.26137948
0.30041027,0.60439634,0.7752743,1.3461332,0.466568,1.279458,0.18219948,0.5771804,0.087076426,0.2605965
0.30297756,0.60190153,0.780674,1.336647,0.48897552,1.2764349,0.19533348,0.5820012,0.088843584,0.26067162
0.31013107,0.5963888,0.7954178,1.3061409,0.5524292,1.2629595,0.23107433,0.59050274,0.093618155,0.2600143
0.29990482,0.5992713,0.77402496,1.3265333,0.4906044,1.2681341,0.19769001,0.57945347,0.08872652,0.2587657
0.30937386,0.6016073,0.79250145,1.3233366,0.52181244,1.2695789,0.21290588,0.5860357,0.0911901,0.26029348
0.30817032,0.604372,0.789608,1.3405781,0.4964695,1.2801294,0.19803429,0.58415127,0.08949065,0.26176143
0.30985928,0.60159874,0.7939129,1.3302946,0.51600647,1.2755318,0.20931435,0.5865731,0.09092212,0.26120448
0.3094864,0.6032777,0.79101753,1.3361855,0.4997673,1.2762842,0.19988632,0.58286333,0.08950639,0.26055837
0.32155514,0.6056547,0.80862236,1.3268585,0.53476715,1.2725468,0.21819401,0.58768463,0.09210849,0.26085782
0.32093716,0.608778,0.804966,1.3395529,0.5118656,1.2784739,0.20495796,0.5839181,0.090352535,0.2610948
0.31971264,0.6057396,0.80524063,1.3333578,0.5201454,1.2756014,0.20998478,0.5850291,0.09094238,0.26067233
0.32086277,0.6088104,0.8042698,1.3404026,0.50315094,1.2758665,0.19973564,0.57984257,0.08931184,0.25964093
0.32562923,0.6055002,0.812891,1.3169785,0.5543823,1.267211,0.22928238,0.5890517,0.09344411,0.26002574
0.32298946,0.59935856,0.8110275,1.2978802,0.5837574,1.2595434,0.24715233,0.5933051,0.09579897,0.25982594
0.3000307,0.59240437,0.7914009,1.3172607,0.543417,1.2749605,0.2260437,0.59556437,0.093565226,0.26288962
0.31070232,0.6096535,0.79232407,1.3548183,0.4785843,1.2860003,0.1859703,0.5790863,0.08783889,0.2615993
0.31502056,0.6046419,0.80472946,1.3393545,0.514698,1.2801085,0.2057705,0.5851064,0.09046912,0.26137614
0.32633305,0.60054874,0.81362534,1.2978163,0.5827198,1.2578106,0.24634266,0.590734,0.09544253,0.25836802
0.30957603,0.5941057,0.7940426,1.3021669,0.55043983,1.2586641,0.23027039,0.58795595,0.09314036,0.25830674
0.3070135,0.6024809,0.78463745,1.329978,0.4946251,1.2686396,0.197896,0.5788541,0.0887239,0.25849032
0.31447697,0.6035938,0.78894806,1.320817,0.5025902,1.2598896,0.20262718,0.5755625,0.08901143,0.25618434
0.3196249,0.6026964,0.7974129,1.3115091,0.5196018,1.2534056,0.21151066,0.5766616,0.09012532,0.25526023
0.3227892,0.6097517,0.7981415,1.324584,0.5040035,1.2596369,0.20193672,0.57554674,0.089072466,0.25635386
0.3223114,0.6053157,0.79904366,1.3087969,0.535017,1.2554579,0.22053337,0.58261347,0.091786146,0.2574768
0.32704258,0.6011791,0.8110466,1.293827,0.56884384,1.2492418,0.23805618,0.58659124,0.09419608,0.25729442
0.3297119,0.6079006,0.8161125,1.3136768,0.5532265,1.2617979,0.22765923,0.5878196,0.09326911,0.2596104
0.34374523,0.6124358,0.8331871,1.3121777,0.5715027,1.2603827,0.236022,0.58723974,0.094362974,0.25876713
0.34132195,0.6093836,0.8276005,1.3068609,0.5615635,1.2532053,0.23111916,0.58182096,0.09312987,0.25630283
0.34107494,0.6124058,0.8291588,1.3157244,0.5514755,1.2574759,0.22452354,0.5818105,0.09241223,0.2570629
0.3419838,0.61652184,0.83076286,1.3322105,0.5349903,1.2683401,0.21445465,0.5820966,0.09144783,0.25908685
0.35948467,0.61758566,0.8620281,1.3242445,0.58034515,1.2665663,0.23579216,0.5872488,0.09455609,0.2593603
0.36019993,0.61592007,0.8659172,1.321867,0.59020996,1.2669325,0.24083328,0.58877325,0.09526944,0.25961494
0.35693836,0.6202965,0.86104584,1.3347902,0.57056046,1.2734098,0.22955132,0.58671236,0.09381151,0.2599473
0.35932255,0.6148019,0.86450195,1.3161554,0.59949684,1.2646084,0.2467022,0.58958054,0.09594321,0.2589612
0.35570908,0.6099229,0.85795593,1.3051462,0.60157967,1.2566814,0.24917221,0.5874686,0.095886946,0.25729585
0.3454466,0.60719585,0.84371567,1.3085938,0.5823631,1.2585859,0.24027252,0.5867181,0.094670296,0.25775385
0.35112953,0.6139555,0.84934235,1.3210554,0.5747318,1.2655373,0.23485374,0.5866523,0.09417224,0.25871348
0.3537197,0.60900164,0.8564415,1.3085642,0.59744644,1.2596998,0.24681759,0.5883646,0.095669985,0.25814748
0.3334551,0.6071043,0.8223305,1.3181791,0.5517998,1.2645044,0.22619057,0.584846,0.09278226,0.25852656
0.3319683,0.603425,0.81941605,1.3053732,0.5644989,1.2569742,0.2344265,0.5854516,0.093672276,0.2574172
0.3369503,0.6044297,0.8263664,1.3038483,0.5675583,1.2537527,0.23498344,0.5835643,0.09361029,0.2564659
0.33272266,0.606647,0.8188343,1.3176088,0.5383663,1.2598324,0.21892548,0.5803914,0.09147787,0.25678658
0.340827,0.60863686,0.832983,1.3140154,0.56298447,1.259862,0.23103714,0.5845566,0.0933516,0.2577417
0.3420105,0.6115155,0.83527565,1.3200436,0.56809235,1.2672596,0.23374939,0.5890627,0.09425092,0.25997663
0.34258652,0.60511017,0.84062386,1.3058577,0.5968342,1.2629919,0.2499218,0.5931964,0.096470594,0.26008415
0.34626675,0.607018,0.84801865,1.3126135,0.5943146,1.2667723,0.24701595,0.5930886,0.09620547,0.2604735
0.3540659,0.6149225,0.8568268,1.3324203,0.5702362,1.2744284,0.23119545,0.5877881,0.09404683,0.2602527
0.36549854,0.6179414,0.87402725,1.3350382,0.578352,1.2738256,0.2332716,0.5854049,0.09414959,0.25900722
0.3731699,0.6179943,0.88593864,1.3293886,0.5932369,1.2691479,0.24014664,0.5846906,0.094866514,0.25778103
0.37315655,0.619544,0.88692665,1.3307819,0.59404945,1.2699394,0.2398901,0.58599615,0.09493995,0.25833988
0.37273502,0.6209612,0.8858032,1.3350763,0.58984756,1.2730913,0.23736954,0.58645487,0.09471893,0.2589829
0.35710716,0.61421585,0.86065674,1.3254805,0.5792999,1.2686138,0.23567963,0.5861354,0.09428978,0.2587974
0.34595966,0.6116357,0.8363533,1.3174849,0.5522957,1.257309,0.22411156,0.57728577,0.09193349,0.2547896
0.34077644,0.6057067,0.83073616,1.305007,0.5638523,1.2515268,0.23257828,0.58110523,0.093106985,0.2549653
0.34954357,0.611814,0.8479881,1.3141623,0.5858803,1.2630129,0.24242783,0.5903268,0.09534478,0.2592919
0.35585594,0.6120062,0.86055183,1.3189573,0.5939827,1.2681532,0.24450684,0.5910654,0.09585738,0.26030135
0.3498869,0.6090841,0.8530483,1.3159218,0.5956764,1.2687874,0.24680328,0.59322786,0.096224785,0.26078296
0.3498106,0.60618114,0.8547783,1.3076487,0.61100197,1.2656622,0.25557995,0.59531164,0.09738469,0.26058006
0.34387493,0.60664225,0.84368896,1.3137302,0.5910225,1.2682076,0.24594307,0.59314203,0.09599471,0.2605095
0.3433771,0.6032524,0.84599304,1.3051987,0.60531425,1.2643166,0.2541046,0.5945072,0.0970335,0.2600875
