지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 전운량(1/10)
108,서울,2018-01-01,-1.3,-5.1,3.8,,1.4,39.1,1
108,서울,2018-01-02,-1.8,-4.3,1.8,,1.8,42,2.3
108,서울,2018-01-03,-4.7,-7.1,-.4,,2.2,42.3,3.6
108,서울,2018-01-04,-4.7,-8.7,-.7,,1.4,43,6.5
108,서울,2018-01-05,-3,-5.6,1.6,,1.7,48.4,3.6
108,서울,2018-01-06,-2.8,-6.8,2.9,,1.5,45.8,0
108,서울,2018-01-07,-.8,-5.7,2.8,,.8,42.1,7.5
108,서울,2018-01-08,1.3,-1.2,4,.9,1.8,51.9,9
108,서울,2018-01-09,-4.2,-6.1,-1.2,.5,2.9,59.4,3.5
108,서울,2018-01-10,-7.5,-10.3,-4.8,.3,3,52,.9
108,서울,2018-01-11,-11.1,-13.6,-7.4,,2.8,49.8,.4
108,서울,2018-01-12,-10.2,-15.3,-5.4,0,1.7,35.4,2.3
108,서울,2018-01-13,-4.4,-6.6,-1.2,.4,.8,67.3,8.3
108,서울,2018-01-14,.6,-4.4,5.4,,1.2,64.1,7
108,서울,2018-01-15,4.7,1.8,7.7,.2,1.4,63.9,7.6
108,서울,2018-01-16,3.5,.1,6.8,0,.7,59.1,9.8
108,서울,2018-01-17,4.5,2.4,8.7,,1.2,64.1,7.4
108,서울,2018-01-18,2.1,.3,4.5,0,1.9,59.6,8.6
108,서울,2018-01-19,1,-2.5,5.5,,1.6,43,3.8
108,서울,2018-01-20,2.2,-1,6.9,,1.6,57.6,5.1
108,서울,2018-01-21,.4,-3.7,5.5,,1,36.6,2
108,서울,2018-01-22,.2,-5.3,4,3.3,1.5,56.5,9.4
108,서울,2018-01-23,-11.7,-14.6,-5.3,,3.7,42,.3
108,서울,2018-01-24,-14.2,-16.3,-10.7,,3.4,31.6,0
108,서울,2018-01-25,-14,-16.4,-9.5,,2.8,32.6,3.6
108,서울,2018-01-26,-14.8,-17.8,-10.7,,2.6,34.9,0
108,서울,2018-01-27,-9.9,-15.9,-3.5,,1.4,37.4,1.8
108,서울,2018-01-28,-6.3,-9.3,-1.2,,2.6,36,3.3
108,서울,2018-01-29,-8.5,-11.6,-4.7,,2.7,35,.1
108,서울,2018-01-30,-5.3,-11.4,-.8,2.9,1.3,62,5.8
108,서울,2018-01-31,-2.6,-5.2,0,0,1.6,54.5,7.4
108,서울,2018-02-01,-4,-8.8,1.2,,1.6,44.1,0
